vote_id,member_id,position,country_code,ep_group,source
9,321,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
9,396,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
9,446,FOR,DNK,Europe of freedom and democracy Group,votewatch
9,550,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
9,555,FOR,DNK,European Conservatives and Reformists Group,votewatch
9,576,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
9,611,FOR,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
9,672,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
9,846,DID_NOT_VOTE,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
9,849,DID_NOT_VOTE,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
10,27,FOR,DNK,Group of the Greens/European Free Alliance,votewatch
10,116,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
10,316,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
10,321,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
10,396,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
10,446,FOR,DNK,Europe of freedom and democracy Group,votewatch
10,550,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
10,555,FOR,DNK,European Conservatives and Reformists Group,votewatch
10,576,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
10,611,FOR,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
10,672,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
10,846,DID_NOT_VOTE,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
10,849,DID_NOT_VOTE,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
11,27,FOR,DNK,Group of the Greens/European Free Alliance,votewatch
11,53,AGAINST,DNK,Group of the European People's Party (Christian Democrats),votewatch
11,116,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
11,316,AGAINST,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
11,321,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
11,550,AGAINST,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
11,576,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
11,611,FOR,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
11,654,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
11,672,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
11,846,DID_NOT_VOTE,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
11,849,DID_NOT_VOTE,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
12,27,FOR,DNK,Group of the Greens/European Free Alliance,votewatch
12,53,AGAINST,DNK,Group of the European People's Party (Christian Democrats),votewatch
12,116,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
12,316,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
12,321,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
12,396,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
12,550,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
12,555,ABSTENTION,DNK,European Conservatives and Reformists Group,votewatch
12,576,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
12,611,FOR,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
12,654,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
12,672,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
12,846,DID_NOT_VOTE,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
12,849,DID_NOT_VOTE,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
13,27,FOR,DNK,Group of the Greens/European Free Alliance,votewatch
13,53,AGAINST,DNK,Group of the European People's Party (Christian Democrats),votewatch
13,116,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
13,316,AGAINST,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
13,321,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
13,396,AGAINST,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
13,446,AGAINST,DNK,Europe of freedom and democracy Group,votewatch
13,550,AGAINST,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
13,555,AGAINST,DNK,European Conservatives and Reformists Group,votewatch
13,576,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
13,611,FOR,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
13,654,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
