vote_id,member_id,position,country_code,group_code
170611,257028,FOR,DNK,EPP
170611,257033,FOR,DNK,EPP
170611,257038,FOR,DNK,RENEW
170611,257044,FOR,DNK,GREEN_EFA
170621,37312,ABSTENTION,DNK,SD
170621,96709,FOR,DNK,RENEW
170621,101585,ABSTENTION,DNK,SD
170621,111412,FOR,DNK,GREEN_EFA
170621,124875,AGAINST,DNK,PFE
170621,197558,FOR,DNK,RENEW
170621,197573,FOR,DNK,GREEN_EFA
170621,199941,ABSTENTION,DNK,SD
170621,257020,FOR,DNK,RENEW
170621,257023,AGAINST,DNK,GUE_NGL
170621,257025,AGAINST,DNK,ECR
170621,257028,ABSTENTION,DNK,EPP
170621,257033,ABSTENTION,DNK,EPP
170621,257038,FOR,DNK,RENEW
170621,257044,FOR,DNK,GREEN_EFA
170624,37312,FOR,DNK,SD
170624,96709,AGAINST,DNK,RENEW
170624,101585,FOR,DNK,SD
170624,111412,FOR,DNK,GREEN_EFA
170624,124875,FOR,DNK,PFE
170624,197558,AGAINST,DNK,RENEW
170624,197573,FOR,DNK,GREEN_EFA
170624,199941,FOR,DNK,SD
170624,257020,AGAINST,DNK,RENEW
170624,257023,FOR,DNK,GUE_NGL
170624,257025,AGAINST,DNK,ECR
170624,257028,AGAINST,DNK,EPP
170624,257033,AGAINST,DNK,EPP
170624,257038,FOR,DNK,RENEW
170624,257044,FOR,DNK,GREEN_EFA
170627,37312,FOR,DNK,SD
170627,96709,AGAINST,DNK,RENEW
170627,101585,FOR,DNK,SD
170627,111412,FOR,DNK,GREEN_EFA
170627,124875,FOR,DNK,PFE
170627,197558,AGAINST,DNK,RENEW
170627,197573,FOR,DNK,GREEN_EFA
170627,199941,FOR,DNK,SD
170627,257020,AGAINST,DNK,RENEW
170627,257023,FOR,DNK,GUE_NGL
170627,257025,AGAINST,DNK,ECR
170627,257028,AGAINST,DNK,EPP
170627,257033,AGAINST,DNK,EPP
170627,257038,FOR,DNK,RENEW
170627,257044,FOR,DNK,GREEN_EFA
170628,37312,FOR,DNK,SD
170628,96709,FOR,DNK,RENEW
170628,101585,FOR,DNK,SD
170628,111412,FOR,DNK,GREEN_EFA
170628,124875,FOR,DNK,PFE
170628,197558,FOR,DNK,RENEW
170628,197573,FOR,DNK,GREEN_EFA
170628,199941,FOR,DNK,SD
170628,257020,AGAINST,DNK,RENEW
170628,257023,FOR,DNK,GUE_NGL
170628,257025,AGAINST,DNK,ECR
170628,257028,AGAINST,DNK,EPP
170628,257033,AGAINST,DNK,EPP
170628,257038,FOR,DNK,RENEW
170628,257044,FOR,DNK,GREEN_EFA
170631,37312,FOR,DNK,SD
170631,96709,AGAINST,DNK,RENEW
170631,101585,FOR,DNK,SD
170631,111412,FOR,DNK,GREEN_EFA
170631,124875,FOR,DNK,PFE
170631,197558,AGAINST,DNK,RENEW
170631,197573,FOR,DNK,GREEN_EFA
170631,199941,FOR,DNK,SD
170631,257020,AGAINST,DNK,RENEW
170631,257023,FOR,DNK,GUE_NGL
170631,257025,AGAINST,DNK,ECR
170631,257028,AGAINST,DNK,EPP
170631,257033,AGAINST,DNK,EPP
170631,257038,FOR,DNK,RENEW
170631,257044,FOR,DNK,GREEN_EFA
170632,37312,FOR,DNK,SD
170632,96709,FOR,DNK,RENEW
170632,101585,FOR,DNK,SD
170632,111412,FOR,DNK,GREEN_EFA
170632,124875,AGAINST,DNK,PFE
170632,197558,FOR,DNK,RENEW
170632,197573,FOR,DNK,GREEN_EFA
170632,199941,FOR,DNK,SD
170632,257020,FOR,DNK,RENEW
170632,257023,FOR,DNK,GUE_NGL
170632,257025,AGAINST,DNK,ECR
170632,257028,FOR,DNK,EPP
170632,257033,FOR,DNK,EPP
170632,257038,FOR,DNK,RENEW
170632,257044,FOR,DNK,GREEN_EFA
170636,37312,FOR,DNK,SD
170636,96709,AGAINST,DNK,RENEW
170636,101585,FOR,DNK,SD
170636,111412,FOR,DNK,GREEN_EFA
170636,124875,FOR,DNK,PFE
170636,197558,AGAINST,DNK,RENEW
170636,197573,FOR,DNK,GREEN_EFA
170636,199941,FOR,DNK,SD
170636,257020,AGAINST,DNK,RENEW
170636,257023,FOR,DNK,GUE_NGL
170636,257025,AGAINST,DNK,ECR
170636,257028,AGAINST,DNK,EPP
170636,257033,AGAINST,DNK,EPP
170636,257038,FOR,DNK,RENEW
170636,257044,FOR,DNK,GREEN_EFA
170637,37312,FOR,DNK,SD
170637,96709,AGAINST,DNK,RENEW
170637,101585,FOR,DNK,SD
170637,111412,FOR,DNK,GREEN_EFA
170637,124875,FOR,DNK,PFE
170637,197558,AGAINST,DNK,RENEW
170637,197573,FOR,DNK,GREEN_EFA
170637,199941,FOR,DNK,SD
170637,257020,AGAINST,DNK,RENEW
170637,257023,FOR,DNK,GUE_NGL
170637,257025,AGAINST,DNK,ECR
170637,257028,AGAINST,DNK,EPP
170637,257033,AGAINST,DNK,EPP
