question,election,rank,similarity,sagid,sag_nummer,sag_titel,sag_resume,relevance,notes
Den danske krone skal erstattes med euroen,FV11,1,0.83922184,91710,L 150,Forslag til lov om restriktioner på transaktioner med kontanter og værdipapirer i danske kroner til Rusland og Belarus.,"Lovforslaget indfører restriktioner på salg af kontanter og værdipapirer i danske kroner svarende til de europæiske sanktioner, der er vedtaget for så vidt angår transaktioner i pengesedler og værdipapirer i euro til Rusland eller Belarus.

Forslaget indfører et forbud mod at sælge, levere, overføre eller eksportere pengesedler og mønter i danske kroner til russiske og belarussiske statsborgere eller fysiske personer, der er bosiddende i Rusland eller Belarus, eller juridiske personer, enheder eller organer, der er hjemmehørende i Rusland eller Belarus. Det bliver endvidere forbudt at sælge omsættelige værdipapirer i danske kroner, der er udstedt efter den 12. april 2022, eller andele i institutter for kollektiv investering, der leverer eksponering mod sådanne værdipapirer, til russiske eller belarussiske statsborgere eller fysiske personer, der er bosiddende i Rusland eller Belarus, eller juridiske personer, enheder eller organer, der er hjemmehørende i Rusland eller Belarus. 

Overtrædelse af forbuddene kan sanktioneres med bøde eller fængsel indtil 4 måneder eller under særligt skærpende omstændigheder med fængsel indtil 4 år.

Loven træder i kraft ved bekendtgørelsen i Lovtidende.

Loven ophæves pr. 1. april 2023, dvs., at restriktionerne i loven automatisk ophæves pr. denne dato, med mindre Folketinget inden beslutter at forlænge reglernes gyldighedsperiode.
",,
Den danske krone skal erstattes med euroen,FV11,2,0.83825386,76208,L 225,"Forslag til lov om ændring af lov om danskuddannelse til voksne udlændinge m.fl. (Indførelse af deltagerbetaling for danskuddannelse til udenlandske arbejdstagere, studerende m.v.).","Lovforslaget indfører deltagerbetaling for danskuddannelse for de såkaldte S-kursister, dvs. udenlandske arbejdstagere, EU-borgere, studerende m.fl. Deltagerbetalingen fastsættes til 2.000 kr. pr. modul. Lovforslaget bemyndiger udlændinge- og integrationsministeren til at fastsætte de nærmere regler om opkrævning og administration af deltagerbetalingen.

Herudover udvider lovforslaget definitionen af S-kursister til også at omfatte ægtefæller og faste samlevende til udlændinge, der har været ansat ved en herværende international organisation m.v., som ved pensionering meddeles opholdstilladelse i Danmark.

Lovforslaget er del i udmøntningen af aftalen mellem regeringen (Venstre, Liberal Alliance og Konservative Folkeparti)og Dansk Folkeparti den 6. februar 2018 ""Aftale om lavere skat på arbejdsindkomst og større fradrag for pensionsindbetalinger"". ",,
Den danske krone skal erstattes med euroen,FV11,3,0.8380162,79567,L 151 A,"Forslag til lov om ændring af udlændingeloven. (Ny landespecifik beløbsordning, udvidelse af positivlisten, afskaffelse af kravet om dansk bankkonto, nedsættelse af antallet af ansatte som betingelse for virksomhedscertificering og et ensrettet og lavere selvforsørgelseskrav).","Formålet med delingen af lovforslaget er at samle de dele af det oprindelige forslag fra regeringens udspil »Styrket rekruttering af udenlandsk arbejdskraft« af 3. oktober 2018, som ikke har kunnet finde opbakning fra et bredt flertal i løbet af udvalgsarbejdet. 

Lovforslaget introducerer en ændring af beløbsordningen, hvor beløbsgrænsen sættes til 350.000 kr. for arbejdstagere fra de 30 tredjelande, der har de største investeringer i og fra Danmark. Beløbsgrænsen udgør i dag godt 425.000 kr. 

Derudover ønsker regeringen at udvide positivlisten både nationalt og regionalt. Positivlisten er en oversigt over erhverv, hvor der er mangel på arbejdskraft. Derudover ønsker regeringen at afskaffe kravet om, at løn op til og med beløbsgrænsen på beløbsordningen skal udbetales til en dansk bankkonto. ",,
Den danske krone skal erstattes med euroen,FV11,4,0.8364856,98276,L 169,Forslag til lov om ændring af lov om betalinger. (Midlertidig lempelse af kontantreglen).,"Lovforslaget har til formål at gøre det midlertidigt frivilligt for betalingsmodtagere at modtage 1.000-kronesedler som betaling, hvis kontantbetalingen overstiger købesummen med mere end 500 kr. 

Formålet er at imødekomme de problemer, som hyppige betalinger med 1.000-kronesedler kan give detailhandlen, i anledning af at 1.000-kronesedlen er blevet indkaldt.

Lovforslaget muliggør fortsat køb af varer med 1.000-kronesedler. Men betalingsmodtageren vil kunne afvise betaling fra kunder, der ønsker at benytte en 1.000-kroneseddel til mindre køb op til 500 kr., der reelt kan have karakter af en veksling af sedler.

Det foreslås, at loven træder i kraft dagen efter bekendtgørelse i Lovtidende.",,
Den danske krone skal erstattes med euroen,FV11,5,0.8337351,82417,L 137,"Forslag til lov om ændring af momsloven, kildeskatteloven, skatteindberetningsloven og lov om afgifter af spil. (Modernisering af momsreglerne for grænseoverskridende handel med varer og ydelser solgt til forbrugere i EU, digitale salgsregistreringssystemer, håndtering af A-skat m.v. i forbindelse med udbetaling fra feriegarantiordninger m.v. og udskydelse af ikrafttrædelsestidspunktet for den digitale logbog m.v.).","Lovforslaget indeholder flere elementer, herunder ændringer af momslovens regler i relation til e-handel med varer og ydelser, hvilket skal sikre, at danske virksomheder kan konkurrere på lige vilkår med udenlandske virksomheder om den øgede e-handel.

Forslaget forventes at ville reducere omfanget af fejl og svig, særligt i forbindelse med indførelse af varer med lav værdi fra lande uden for EU. Derudover medfører forslaget øget forbrugslandsbeskatning.

Den gældende momsfritagelse på 80 kr. for køb af varer med lav værdi fra steder uden for EU foreslås ophævet. Det foreslås samtidig, at udbydere af platforme m.v. får større ansvar for afregning af moms af varer solgt gennem deres platforme m.v., som indføres i EU.

Det foreslås videre, at EU-landenes nuværende forskellige nationale fjernsalgsgrænser for varer, under hvilke grænser virksomheder betaler moms i deres hjemland, erstattes af en lav EU-fælles grænse på 10.000 euro. 

Derudover foreslås det eksisterende momsangivelses- og betalingssystem Mini One Stop Shop for elektroniske ydelser, teleydelser og radio- og tv-spredningsydelser udvidet til at omfatte alle former for ydelser, fjernsalg af varer inden for EU og varer med værdi indtil 150 euro indført fra steder uden for EU. 

Desuden indeholder forslaget et initiativ om håndtering af A-skat m.v. i forbindelse med udbetaling fra feriegarantiordninger m.v. og et ønske om udskydelse af ikrafttrædelsestidspunktet for den digitale logbog

Endelig indeholder forslaget lovtekniske justeringer. 
",,
Den danske krone skal erstattes med euroen,FV11,6,0.8318118,99806,L 70,"Forslag til lov om ændring af lov om betalingskonti, lov om finansiel virksomhed, lov om kapitalmarkeder, lov om Danmarks Nationalbank og forskellige andre love. (Adgang til en basal erhvervskonto for erhvervsdrivende og foreninger, tilsyn efter forordning om europæiske grønne obligationer og åremålsansættelse for direktionen i Danmarks Nationalbank m.v.).","Lovforslaget har til formål at ændre flere love inden for det finansielle område, herunder lov om betalingskonti, lov om finansiel virksomhed, lov om kapitalmarkeder og lov om Danmarks Nationalbank. Ændringerne skal blandt andet fremme adgangen til en basal erhvervskonto for erhvervsdrivende og foreninger, forbedre tilsynet med europæiske grønne obligationer og fastsætte regler for åremålsansættelse af direktionen i Danmarks Nationalbank. 

Lovforslaget udmønter dele af ""Aftale om Iværksætterpakken af 21. juni 2024"" mellem regeringen (Socialdemokratiet, Venstre og Moderaterne), Danmarksdemokraterne, Liberal Alliance, Det Konservative Folkeparti, Radikale Venstre og Dansk Folkeparti.

Loven foreslås at træde i kraft den 1. januar 2025
",,
Den danske krone skal erstattes med euroen,FV11,7,0.83161706,72150,L 135,Forslag til lov om ændring af udlændingeloven. (Præcisering af kravene til aflønning efter beløbsordningen).,"Dansk Folkeparti, Socialdemokratiet, og Socialistisk Folkeparti har fremsat dette lovforslag, som foreslår, at udlændingeloven ændres, så den fastsatte aflønning på 400.000 kr. fremover skal udbetales i Danmark, og så det tydeliggøres, at kost og logi m.v. ikke kan indgå i lønberegningen.

Lovforslaget er sendt i høring, og der er høringsfrist den 22. marts 2017. ",,
Den danske krone skal erstattes med euroen,FV11,8,0.8307005,97168,L 94,Forslag til lov om ændring af hvidvaskloven. (Nedsættelse af kontantforbudsgrænsen).,"Nationalbanken har indkaldt en række ældre pengesedler og 1.000-kronesedlen fra den eksisterende seddelserie. Det sker bl.a., fordi 1.000-kronesedlen ikke vurderes at være nødvendig for borgeres og virksomheders muligheder for sikre og effektive betalinger, og fordi 1.000-kronesedlen udgør en forøget risiko for kriminalitet. 

Sedlerne vil blive gjort ugyldige som betalingsmiddel fra den 1. juni 2025 og kan anvendes som lovligt betalingsmiddel indtil den 31. maj 2025.

Alle erhvervsdrivende, der modtager kontanter, vil derfor i en periode være ekstraordinært eksponerede for en forhøjet risiko for at blive misbrugt til hvidvask af penge. Risikoen retter sig navnlig mod virksomheder, som ikke er omfattet af hvidvasklovens særlige processer til forebyggelse af hvidvask, og vurderes at være højest for handlende med varer af høj værdi såsom smykker, ure, kunst og andre varer, der bevarer en høj værdi over tid.

Med lovforslaget foreslås det derfor at nedsætte det beløb, som erhvervsdrivende maksimalt må modtage i kontanter som betaling for varer og tjenesteydelser. Det foreslås, at loven træder i kraft den 1. marts 2024.",,
Den danske krone skal erstattes med euroen,FV11,9,0.8305397,72447,L 161,Forslag til lov om ændring af udlændingeloven. (Forhøjelse af mindstebeløbet i beløbsordningen).,"Med lovforslaget ændres udlændingeloven, så mindstebeløbet i beløbsordningen hæves fra det nuværende minimum på 400.000 kr. til et minimum på 500.000 kr. fremover.",,
Den danske krone skal erstattes med euroen,FV11,10,0.83020985,100877,L 136,"Forslag til lov om ændring af lov om dansk indfødsret. (Ændring af erklæringsadgangen for nordiske statsborgere, ændring af reglerne vedrørende fortabelse af dansk statsborgerskab og ændring af gebyret, der betales ved indgivelse af ansøgning om dansk statsborgerskab ved naturalisation).","Med lovforslaget foreslås det at skærpe vandelskravet for nordiske statsborgere, der ønsker at erklære sig danske, så kravet fremover regnes fra endt afsoning i stedet for domstidspunktet. Forslaget vil også bringe indfødsretsloven i overensstemmelse med EU-retten efter to EU-domme om fortabelse af statsborgerskab, som samtidig påvirker unionsborgerskab. Derudover foreslås en ensartning af ansøgningsprocessen for bevis på bevarelse af dansk statsborgerskab. Aftalen af 4. juni 2024 mellem regeringen og Liberal Alliance implementeres med en justering af gebyrer for dansk statsborgerskab, herunder en forhøjelse til 6.000 kr. for førstegangsansøgninger, mens visse unge stadig betaler 4.000 kr. Der indføres også gebyrer for genansøgninger. Endelig foreslås en årlig regulering af gebyrer i takt med pris- og lønudviklingen.",,
EU skal fortsætte forhandlingerne med Tyrkiet med henblik på at opnå fuldt tyrkisk medlemskab af Unionen,FV11,1,0.8186269,28061,L 32,Forslag til lov om anerkendelse af visse uddannelses- og erhvervsmæssige kvalifikationer.,"Formålet med lovforslaget er at gennemføre dele af Europa Parlamentets og Rådets direktiv 2005/36/EF af 7. september 2005 om anerkendelse af erhvervsmæssige kvalifikationer, som senest ændret ved Europa Parlamentets og Rådets direktiv 2013/55/EU af 20. november 2013 om ændring
af direktiv 2005/36/EF om anerkendelse af erhvervsmæssige kvalifikationer og forordning (EU) nr. 1024/2012 om det administrative samarbejde ved hjælp af informationssystemet for det indre marked (»IMI-forordningen«).

Lovforslaget indeholder en videreførelse af dele af gældende ret, som hidtil har været fastsat i den gældende lov om adgang til udøvelse af visse erhverv i Danmark, jf. lovbekendtgørelse nr. 189 af 12. februar 2010, men fastsætter også en række nye tiltag, herunder:
- Indførelsen af et nyt europæisk erhvervspas.
- Gennemgang af omfanget af lovregulerede erhverv i medlemslandene.
- Nye regler om, at dimittender kan få anerkendt et praktikophold (”traineeship”) fra et andet medlemsland.
- Indførelse af regler for delvis anerkendelse (delvis adgang) til udøvelse af lovregulerede erhverv.
- Indførelse af fælles uddannelsesprincipper (”Common Training Principles”).
- Indførelse af et advarselssystem om frakendelse af retten til at udøve et erhverv og anvendelse af forfalsket dokumentation.
- Obligatorisk anvendelse af Indre Markeds Informationssystem (IMI).
- En fokuseret rådgivnings- og vejledningsfunktion, herunder udvidelse af servicedirektivets kvikskranker (Point of Single Contact).

Med det reviderede anerkendelsesdirektiv er det hensigten at revidere og modernisere systemet for medlemsstaternes anerkendelse af erhvervsmæssige kvalifikationer, så det bliver mindre byrdefuldt for EU-borgere, som gennem uddannelse og/eller erhvervserfaring er fuldt kvalificerede til at udøve et lovreguleret erhverv som selvstændig erhvervsdrivende eller lønmodtager i en anden medlemsstat (og altså ikke ufaglærte). Revisionen tilsigter på den måde at styrke det indre marked og arbejdskraftens frie bevægelighed i EU med henblik på vækst og jobskabelse.

Det reviderede anerkendelsesdirektiv skal i henhold til direktivet senest være gennemført i national ret den 18. januar 2016. Lovforslaget foreslås at træde i kraft den 1. januar 2016.
",,
EU skal fortsætte forhandlingerne med Tyrkiet med henblik på at opnå fuldt tyrkisk medlemskab af Unionen,FV11,2,0.81740266,93634,L 5,Forslag til lov om ændring af lov om arbejdsmarkedsuddannelser m.v. og forskellige andre love. (Udskydelse af solnedgangsklausuler og ophævelse af kadence for samlede udbudsrunder).,"Forslaget udmønter ”Aftale om 1-årig forlængelse til 2023 af trepartsaftale om styrket og mere fleksibel voksen-, efter- og videreuddannelse (2018-2022)”, som den daværende regering (Socialdemokratiet) og arbejdsmarkedets parter indgik den 30. september 2022. I aftalen blev parterne enige om at videreføre en række initiativer fra VEU-trepartsaftalen af den 29. oktober 2017, der skal understøtte et stærkere voksen-, efter- og videreuddannelsessystem.

Forslaget indebærer, at de i lov nr. 1693 af 26. december 2017, lov nr. 1701 af 27. december 2018 og lov nr. 2593 af 28. december 2021, fastsatte solnedgangsklausuler udskydes med et år, så de lovbundne midlertidige ordninger forlænges indtil udgangen af 2023.

Forslaget indebærer endvidere, at kravet om, at de samlede udbudsrunder på arbejdsmarkedsuddannelsesområdet skal afholdes med højst 4 års mellemrum, ophæves i forlængelsesperioden, så der ikke i 2023 skal afholdes udbudsrunder.

Lovforslaget forventes at træde i kraft den 1. januar 2023.
",,
EU skal fortsætte forhandlingerne med Tyrkiet med henblik på at opnå fuldt tyrkisk medlemskab af Unionen,FV11,3,0.8173672,78798,L 166,Forslag til lov om videreførelse af visse rettigheder i forbindelse med Det Forenede Kongeriges udtræden af Den Europæiske Union uden en aftale.,"Lovforslaget har til formål at afværge de alvorlige konsekvenser, det vil have for borgere både i Danmark og i Det Forenede Kongerige, hvis Det Forenede Kongerige forlader EU uden en aftale. 

Lovforslaget viderefører midlertidigt størstedelen af de rettigheder, som de berørte borgere nyder efter EU-retten i dag. De omfatter bl.a. retten til ophold og arbejde og retten til at modtage udvalgte ydelser, bl.a. efterløn, førtidspension og folkepension. I forhold til ret til andre ydelser, f.eks. kontanthjælp og arbejdsløshedsdagpenge, foreslås det grundlæggende at stille personer, der opholder sig i Danmark, som om EU-retten fortsat fandt anvendelse. Muligheden for at eksportere midlertidige ydelser bortfalder som udgangspunkt. Derudover videreføres bl.a. adgang til uddannelse, sundhedsydelser og anerkendelse af erhvervsmæssige kvalifikationer. 

Der er tale om en midlertidig ordning. Den endelige løsning afhænger af, hvad der besluttes i forhandlingerne på EU-niveau med Det Forenede Kongerige. Det er første gang, at en medlemsstat forlader EU, og der er fortsat en stor usikkerhed om processen.",,
EU skal fortsætte forhandlingerne med Tyrkiet med henblik på at opnå fuldt tyrkisk medlemskab af Unionen,FV11,4,0.8134408,96614,L 82,Forslag til lov om ændring af lov om integrationsgrunduddannelse (igu) og lov om Arbejdsgivernes Uddannelsesbidrag. (Videreførelse og udvidelse af igu-ordningen og videreførelse af egu-fgu-bonusordningen).,"Formålet med forslaget er at videreføre og udvide integrationsgrunduddannelsesordningen (igu). Forslaget indebærer, at igu-ordningen og egu-bonussen videreføres i 4 år frem til den 31. december 2027. Forslaget bygger på en aftale mellem regeringen (Socialdemokratiet, Venstre og Moderaterne) og arbejdsmarkedets parter på baggrund af en anbefaling fra Reformkommissionen. 

Derudover indebærer forslaget, at persongruppen, som har adgang til ordningen, udvides til at omfatte alle former for familiesammenførte i alderen 18-40 år, som har været i Danmark i op til 20 år. I forlængelse heraf indføres der et årligt loft over antallet af nye igu-forløb på 1.500, hvor der efter behov og nærmere drøftelse i aftalekredsen kan indføres et midlertidigt stop, når der i det enkelte år er påbegyndt 1.200 igu-forløb. Forslaget vil endvidere give udlændinge- og integrationsministeren mulighed for at fastsætte nærmere regler for udstedelse af beviser til fuldførte og delvis gennemførte igu-forløb. 

Forslaget indebærer også, at egu-fgu-bonusordningen forlænges med 4 år.  

Det foreslås, at loven træder i kraft den 1. januar 2024.
",,
EU skal fortsætte forhandlingerne med Tyrkiet med henblik på at opnå fuldt tyrkisk medlemskab af Unionen,FV11,5,0.8094103,79302,L 217,Forslag til lov om ændring af lov om integrationsgrunduddannelse (igu) og lov om Arbejdsgivernes Uddannelsesbidrag. (Videreførelse af igu-ordningen og egu-bonusordningen).,"Lovforslaget udmønter trepartsaftalen af 25. februar 2019 mellem regeringen (Venstre, Liberal Alliance og Det Konservative Folkeparti) og arbejdsmarkedets parter om forlængelse af integrationsgrunduddannelsen (igu) i en 3-årig periode. 

I 2016 indgik regeringen og arbejdsmarkedets parter en trepartsaftale om integration af flygtninge og familiesammenførte. Aftalen havde bl.a. som mål at støtte virksomhederne og kommunerne med at få hver anden flygtning og familiesammenført i arbejde efter 3 års ophold i landet. 

Integrationsgrunduddannelsen (igu) var en 3-årig forsøgsordning, der kombinerer praktisk oplæring i en virksomhed og skoleundervisning med faglig opkvalificering og danskuddannelse, og skulle fungere som trædesten til beskæftigelse på almindelige arbejdsmarkedsvilkår. Regeringen foreslår med lovforslaget, at igu-ordningen forlænges til og med den 30. juni 2022 med mindre justeringer i bl.a. adgangen til aftalebaseret forlængelse ved barsel eller længerevarende sygdom og i refusion af udgifter til kost og logi.",,
EU skal fortsætte forhandlingerne med Tyrkiet med henblik på at opnå fuldt tyrkisk medlemskab af Unionen,FV11,6,0.8092131,93986,L 28,Forslag til lov om ændring af lov om erhvervsuddannelser. (Permanentgørelse af Team Danmark-ordning).,"Lovforslaget er en genfremsættelse af lovforslag nr. 30, folketingsåret 2022-23, 1. samling.

Forslaget handler om, at den daværende regering (Socialdemokratiet) og Venstre, Dansk Folkeparti, Socialistisk Folkeparti, Radikale Venstre, Det Konservative Folkeparti og Liberal Alliance den 11. maj 2021 indgik aftale om at permanentgøre forsøgsordningen om særlige vilkår for elitesportsudøvere på erhvervsuddannelserne med henblik på at gøre det mere attraktivt for elitesportsudøvere at tage en erhvervsuddannelse. Det skal således være muligt at uddanne sig som faglært, samtidig med at man udnytter sit potentiale som elitesportsudøver. 

Det har siden 2017 som forsøgsordning været muligt for elitesportsudøvere at gennemføre erhvervsuddannelsen på særlige fleksible vilkår (Team Danmark-ordning). Forsøgsordningen udløber den 30. juni 2023, og det foreslås, at forsøgsordningen gøres permanent ved en ændring af lov om erhvervsuddannelser. Herudover foreslås det indsat i lov om erhvervsuddannelser, at muligheden for at oprette selvstændige hold endvidere omfatter elitesportsudøverne.

Det foreslås, at loven skal træde i kraft den 1. juli 2023.",,
EU skal fortsætte forhandlingerne med Tyrkiet med henblik på at opnå fuldt tyrkisk medlemskab af Unionen,FV11,7,0.8088829,72659,L 169,Forslag til lov om Den Europæiske Unions Agentur for Retshåndhævelsessamarbejde (Europol).,"Formålet med loven er at sikre, at aftalen om Danmarks tilknytning til Europol, som blev indgået mellem regeringen (Venstre, Liberal Alliance og Det Konservative Folkeparti) og Socialdemokratiet, Dansk Folkeparti, Enhedslisten, Alternativet, Radikale Venstre og Socialistisk Folkeparti den 12. december 2016, kan træde i kraft, så snart den igangværende proces i EU-institutionerne er afsluttet. 

Aftalen om Danmarks tilknytning til Europol skal inden den 1. maj 2017 godkendes af Rådet efter høring af Europa-Parlamentet. 

Med vedtagelsen af lovforslaget giver Folketinget sit samtykke i medfør af grundlovens § 19 til, at regeringen på Danmarks vegne tiltræder en aftale mellem Danmark og Europol om operationelt og strategisk samarbejde. 

Det foreslås, at loven træder i kraft dagen efter bekendtgørelsen i Lovtidende. Lovforslaget kan stadfæstes straks efter dets vedtagelse.
",,
EU skal fortsætte forhandlingerne med Tyrkiet med henblik på at opnå fuldt tyrkisk medlemskab af Unionen,FV11,8,0.80882823,92010,L 186,"Forslag til lov om ændring af lov om integrationsgrunduddannelse (igu) og lov om Arbejdsgivernes Uddannelsesbidrag. (Videreførelse af igu-ordningen, mulighed for igu-forløb for personer med opholdstilladelse efter lov om midlertidig opholdstilladelse til personer, der i Afghanistan har bistået danske myndigheder m.v., og videreførelse af egu-fgu-bonusordningen).","Formålet med lovforslaget er at ændre på lov om integrationsgrunduddannelse (igu) og lov om Arbejdsgivernes Uddannelsesbidrag, således at igu-ordningen videreføres, og at personer med opholdstilladelse meddelt efter lov om midlertidig opholdstilladelse til personer, der i Afghanistan har bistået danske myndigheder, vil være omfattet af lov om integrationsgrunduddannelse (igu). Derudover forslås det, at egu-fgu-bonusordningen forlænges tilsvarende igu-ordningen. 

Lovforslaget udmønter visse dele af trepartsaftalen af 14. februar 2022 mellem regeringen (Socialdemokratiet) og arbejdsmarkedets parter om en videreførelse af igu-ordningen. Lovforslaget skal sikre, at vejen til arbejdsmarkedet lettes for flygtninge og familiesammenførte. 

Det foreslås, at loven træder i kraft den 1. juli 2022
",,
EU skal fortsætte forhandlingerne med Tyrkiet med henblik på at opnå fuldt tyrkisk medlemskab af Unionen,FV11,9,0.808184,86326,L 119,Forslag til lov om ændring af toldloven. (Tilpasning af toldloven til EU’s moderniserede pengeforordning m.v.).,"Det foreslås af hensyn til bekæmpelse af hvidvask og anden økonomisk kriminalitet dels at tilpasse toldloven til de nye EU-regler om kontrol med likvide midler, der føres ind og ud af Unionen, dels at indføre et krav om, at SØIK fremadrettet skal have de informationer om likvide midlers bevægelser, som angives og indberettes til Skatteforvaltningen.

Det foreslås desuden at præcisere reglerne om forældelse af toldskyld og at indføre en automatisk tillægsfrist på 1 år regnet fra myndighedens meddelelse af afgørelsen. Endelig foreslås det at afskaffe bestemmelsen om opkrævning af gebyrer for udstedelse af godkendelsesbeviser, idet der ikke er hjemmel i EU-reglerne til at opkræve gebyrerne.

Med lovforslaget sikres det således, at toldlovens bestemmelser om kontrol med likvide midler er i overensstemmelse med EU's nye regler, og at der gælder ensartede regler, når likvide midler krydser EU's ydre eller indre grænser. Desuden sikres det, at toldlovens regler om forældelse af toldskyld er klare og præcise, og at gebyret for udstedelse af såkaldte TIR-carneter, som har været opkrævet uretmæssigt, bliver ophævet og tilbagebetalt.

Det ønskes, at loven generelt træder i kraft den 1. juli 2021, mens bestemmelser om tilbagebetaling af gebyr foreslås at træde i kraft den 1. april 2021. Bestemmelser om likvide midler foreslås at træde i kraft samtidig med de nye EU-regler den 3. juni 2021.
",,
EU skal fortsætte forhandlingerne med Tyrkiet med henblik på at opnå fuldt tyrkisk medlemskab af Unionen,FV11,10,0.80805,92088,L 193,Forslag til lov om Danmarks deltagelse i det europæiske samarbejde om sikkerhed og forsvar ved at afskaffe EU-forsvarsforbeholdet.,"Formålet med lovforslaget er at gøre det muligt for Danmark at deltage i alle dele af EU-samarbejdet om den fælles udenrigs- og sikkerhedspolitik, herunder samarbejdet om den fælles forsvars- og sikkerhedspolitik. 
Lovforslaget udmønter dele af aftalen ’Det Nationale Kompromis’ mellem Regeringen (Socialdemokratiet), Venstre, Socialistisk Folkeparti, Radikale Venstre og Det Konservative Folkeparti om dansk sikkerhedspolitik, der vedrører Danmarks engagement i den europæiske forsvars- og sikkerhedspolitik.
Lovforslaget behandles samtidig med lovforslag om afholdelse af folkeafstemning den 1. juni 2022 om afskaffelse af EU-forsvarsforbeholdet.",,
Kirke og stat skal adskilles,FV11,1,0.8376397,74163,L 19,Forslag til lov om trossamfund uden for folkekirken.,"Formålet med lovforslaget er at samle og tydeliggøre, hvilke rettigheder og pligter der gælder for de mange andre trossamfund end folkekirken. 

Med lovforslaget vil trossamfund, der allerede er anerkendte eller godkendte efter nugældende regler, fortsat være anerkendte efter lovforslagets anerkendelsesbetingelser. 

Med lovforslaget indføres bl.a. to lempelser i forhold til gældende godkendelsespraksis. Der er tale om, at kravet om medlemsdemokrati udgår, og at det gældende medlemskrav på 150 myndige medlemmer ændres til 50 myndige medlemmer. 

Herudover foreslås det at flytte ægteskabslovens bestemmelser om vielsesmyndighed til personer i andre trossamfund til lov om trossamfund uden for folkekirken. 

Som noget nyt foreslås det at indføre et lovfæstet tilsyn med de anerkendte trossamfunds organisation og økonomi. Kirkeministeriet bliver med lovforslaget forpligtet til at oprette og drive et elektronisk trossamfundsregister og sikre, at de anerkendte trossamfund sender de ønskede oplysninger til ministeriet. 

Det foreslås, at loven træder i kraft den 1. januar 2018.",,
Kirke og stat skal adskilles,FV11,2,0.83566093,101412,L 175,"Forslag til lov om ændring af lov om trossamfund uden for folkekirken. (Ny anerkendelsesbetingelse om religiøse forkyndere på den nationale sanktionsliste, skærpet oplysningspligt om udenlandsk finansiering af forkyndere, mulighed for pålæg om brug af ekstern revisor, prøve i dansk familieret, frihed og folkestyre for vielsesforrettere og præcisering af krav til anerkendte trossamfund og menigheder m.v.).","Det følger af trossamfundslovens § 25, at kirkeministeren skal fremsætte forslag om revision af lov om trossamfund, der tager udgangspunkt i erfaringerne med loven.

Lovforslaget indeholder på den baggrund en række forslag til ændringer af administrativ karakter, bl.a. indførelse af mulighed for aflæggelse af prøve i dansk familieret, frihed og folkestyre for at øge valgfriheden for den religiøse forkynder, samtidig med at det sikres, at religiøse forkyndere, der ønsker at foretage vielser med borgerlig gyldighed, har de nødvendige kompetencer. 

Lovforslaget indeholder desuden præciseringer og skærpelser af flere af de krav og forpligtelser, som er knyttet til anerkendelse som trossamfund og som menighed omfattet af et trossamfunds anerkendelse. Det foreslås bl.a. at indføre en ny betingelse for anerkendelse, hvorefter trossamfund og menigheder ikke må facilitere prædikener og taler afholdt af personer på den nationale sanktionsliste over udenlandske religiøse forkyndere. 

Desuden foreslås det at skærpe de anerkendte trossamfund og menigheders oplysningspligt i forhold til udenlandsk finansiering af religiøse forkyndere og at tydeliggøre de anerkendte trossamfund og menigheders ansvar for indberetning af årsregnskaber og oplysninger om donationer til Trossamfundsregistret. 

Endvidere foreslås det at indføre mulighed for, at kirkeministeren kan give et anerkendt trossamfund eller menighed, der gentagne gange indberetter årsregnskaber eller oplysninger om donationer med væsentlige mangler, et pålæg om at anvende en ekstern revisor.",,
Kirke og stat skal adskilles,FV11,3,0.8333326,70253,L 30,"Forslag til lov om ændring af lov om ægteskabs indgåelse og opløsning. (Dekorumkrav og obligatorisk kursus i dansk familieret, frihed og folkestyre).","Med lovforslaget foreslås tre ændringer af lov om ægteskabs indgåelse og opløsning. For det første foreslås en lovfæstelse af det i dag ulovbestemte dekorumkrav (værdighedskrav) til religiøse forkyndere i trossamfund uden for folkekirken, der tildeles vielsesbemyndigelse. 

For det andet foreslås det, at der indføres et obligatorisk kursus i dansk familieret, frihed og folkestyre for religiøse forkyndere i trossamfund uden for folkekirken, der ønsker vielsesbemyndigelse. Kurset finansieres ved brugerbetaling og skal være gennemført, inden 6 måneder efter at den religiøse forkynder har fået tildelt vielsesbemyndigelsen. 

For det tredje foreslås det, at kursusdeltagerne ved kursets afslutning skal underskrive en løfteerklæring om at ville overholde dansk lovgivning. 

Lovforslaget skal ses i sammenhæng med lovforslag nr. L 50 om obligatorisk kursus i dansk familieret, frihed og folkestyre for religiøse forkyndere m.fl. og løfteerklæring om overholdelse af dansk lovgivning. L 30 og L 50 sambehandles. 

Under behandlingen af lovforslaget blev der ved ændringsforslag indført en revisionsbestemmelse, der betyder, at kirkeministeren i folketingsåret 2019-20 skal fremsætte forslag om revision af loven.

Lovforslaget er en del af aftalen om initiativer rettet mod religiøse forkyndere, som søger at undergrave danske love og værdier og understøtte parallelle retsopfattelser, indgået den 31. maj 2016 mellem regeringen (Venstre), Socialdemokratiet, Dansk Folkeparti og Det Konservative Folkeparti.",,
