sagid,oda_sagsomraade
99302,finanspolitik
99303,finanspolitik
99306,økonomi og bloktilskud
99307,økonomi og bloktilskud
99308,erhvervsdrivende virksomhed
99428,formueret og tinglysning
99429,formueret og tinglysning
99564,praksissektoren og kommunale sundhedsordninger
99566,selskaber og fonde
99567,EU|konkurrence- og forbrugerforhold
99568,selvstyreordningen og Rigsfællesskabet
99569,indfødsrets og naturalisering
99571,alternative og vedvarende energikilder
99572,fossile brændstoffer
99573,energipolitik og energieffektivitet
99781,dagtilbud
99782,dagtilbud
99799,universiteter|voksen- og efteruddannelse
99800,ophold og visum
99803,miljøpolitik og miljøbeskyttelse
99804,finansiel virksomhed
99805,selskaber og fonde
99806,erhvervsdrivende virksomhed
99808,"arkiver, biblioteker og museer"
99809,musik
99922,databeskyttelse og dataetik
99923,skattekontrol
99925,vand- og havmiljø
99927,strafferet og kriminalitet
100071,kunstig befrugtning
100072,kunstig befrugtning
100073,sociale ydelser
100075,ejendomsdata
100076,ejendomsdata
100154,politi og retsvæsen
100155,PET og terrorbekæmpelse
100156,sociale ydelser
100266,skifteret og konkurs
100267,strafferet og kriminalitet
100390,politi og retsvæsen
100391,sø- og skibsfart
100392,miljøpolitik og miljøbeskyttelse
100401,EU
100403,EU
100453,boliger
100458,arbejdsret og overenskomster
100495,sundhedspolitik og sundhedsøkonomi
100496,sundhedspolitik og sundhedsøkonomi
100537,social service|udsatte voksne
100538,sygdomme og sygdomsbehandling
100597,strafferet og kriminalitet
100677,klimapolitik og klimaforandringer
100768,landdistrikter
100777,klageforhold og klagenævn
100798,etik og forskning
100799,etik og forskning
100800,finanspolitik
100826,erhverv og arbejdsmarked
100874,dyr og dyrevelfærd
100875,lægemidler og apoteker
100876,lægemidler og apoteker
100877,indfødsrets og naturalisering
100878,kulturarv og bygningsbevaring
101039,digital service og digital transformation
101040,sundhedsfremme og sygdomsforebyggelse
101041,told
101042,energiforsyning
101043,uddannelsesstøtte
101044,civilret
101048,vejinfrastruktur
101049,syn og motorkøretøjer
101050,medier
101051,naturbeskyttelse og kystsikring
101052,grøn trepart
101054,voksen- og efteruddannelse
101055,vand- og havmiljø
101056,miljøpolitik og miljøbeskyttelse
101057,folkepension og førtidspension
101058,arbejdsløshedsforsikring og dagpenge
101139,indfødsrets og naturalisering
101245,patientrettigheder og patientsikkerhed
101246,produktsikkerhed og autorisation
101318,syn og motorkøretøjer
101344,energiforsyning
101345,energiforsyning
101402,offentlige data og datadeling
101403,NATO
101404,beskatning af fast ejendom 
101406,familieret
101408,lægemidler og apoteker
101409,psykiatri
101410,strafferet og kriminalitet
101412,trossamfund og menigheder
101413,civilret
101415,vand- og havmiljø
101416,folkepension og førtidspension
101417,universiteter
101418,vejinfrastruktur
101419,udvisning og repatriering
101421,udvisning og repatriering
101444,kriminalforsorg og afsoning
101584,udvisning og repatriering
101585,arbejdsmarkedspolitik og beskæftigelsespolitik
101587,erhvervsdrivende virksomhed
101679,social service
101680,social service
101681,social service
101688,finanspolitik
101689,praksissektoren og kommunale sundhedsordninger
101690,regioner
101691,regioner
101692,kommuner
101693,valg og folkeafstemninger
101694,formueret og tinglysning
101696,strafferet og kriminalitet
101702,ligestilling og barsel
101703,internationale forhold
101704,indfødsrets og naturalisering
101705,jernbaneinfrastruktur|vejinfrastruktur
101806,værnepligt
101905,arbejdsmiljø og arbejdsskader
101906,arbejdsmarkedspolitik og beskæftigelsespolitik
101956,alternative og vedvarende energikilder
101957,alternative og vedvarende energikilder
102023,personskatter
102024,personskatter
102151,kriminalforsorg og afsoning
102152,kriminalforsorg og afsoning
102229,erhvervsdrivende virksomhed
102230,finansiel virksomhed
102231,civilret
102232,civilret
102265,politi og våben
103080,finanspolitik
103081,finanspolitik
103082,finanspolitik
103111,selvstyreordningen og Rigsfællesskabet
103112,databeskyttelse og dataetik
103113,menneskehandel og illegal indvandring
103115,sygdomme og sygdomsbehandling
103116,boligpolitik
103117,alternative og vedvarende energikilder
103120,hjælp til pårørende
103121,forskning og innovation
103122,sundhedspolitik og sundhedsøkonomi
103123,erhvervsakademier og professionshøjskoler
103124,sundhedspolitik og sundhedsøkonomi
103125,transportpolitik
103127,DSB|jernbaneinfrastruktur
103128,civilret
103129,vejinfrastruktur
103130,forvaltningsret og persondata
103134,folkeskolen
103135,voksen- og efteruddannelse
103137,voksen- og efteruddannelse
103138,erhvervsdrivende virksomhed
103140,erhvervsuddannelser
103142,kommuner og infrastruktur
103143,finansiel virksomhed
103144,finansiel virksomhed
103145,affald og kemikalier
103147,arbejdsmiljø og arbejdsskader
103148,børne- og ungeydelse
103150,sociale ydelser
103151,sociale ydelser
103153,international beskatning 
103154,fonds- og foreningsbeskatning
103326,it-løsninger og digital infrastruktur
103327,udsatte voksne
103328,energiforsyning
103329,energiforsyning
103330,energiforsyning
103331,Det Økonomiske Råd
103332,kommuner og infrastruktur
103406,udviklingssamarbejde og humanitær bistand
103407,civilret
103409,ejendomsdata
103410,lufttrafik
103411,vejinfrastruktur
103475,politi og retsvæsen
103476,folkeoplysning og højskoler
103479,erhverv og arbejdsmarked
103480,erhvervsdrivende virksomhed
103481,erhvervsdrivende virksomhed
103482,patent- og varemærkning
103483,spil
103487,aktiv beskæftigelsesindsats
103489,EU
103490,folkekirken
103493,nordisk samarbejde
103494,beredskab og civile opgaver
103495,socialpolitik
103502,"folketingsarbejdet, grundloven og forretningsordenen"
103791,inddrivelse
103792,kriminalforsorg og afsoning
103800,gymnasiale uddannelser
103801,folkeskolen
103913,arbejdsmiljø og arbejdsskader
104028,udsatte voksne
104066,arbejdsmiljø og arbejdsskader
104068,strafferet og kriminalitet
104246,miljø
104247,energipolitik og energieffektivitet
104574,psykiatri
104575,psykiatri
105024,finanspolitik
105374,EU
105379,sundhed og sociale forhold
105381,erhvervsdrivende virksomhed
105382,boliger
105669,erhvervsdrivende virksomhed
