sagid,oda_sagsomraade
74179,miljøpolitik og miljøbeskyttelse
74180,EU
74181,økonomi og bloktilskud
74182,arbejdsmiljø og arbejdsskader
74183,ophold og visum
74184,pensions- og pensionsafkastbeskatning
74185,fiskeri og havbrug
74186,motorkøretøjer
74187,energiafgifter 
74188,kunstneriske og maritime uddannelser
74189,skattekontrol
74190,erhvervsakademier og professionshøjskoler
74191,skattekontrol
74192,skattekontrol
74193,motorkøretøjer
74194,energiforsyning
74195,etik og forskning
74197,lægemidler og apoteker
74198,sundhedspolitik og sundhedsøkonomi
74199,olie- og naturgasindvinding
74200,etik og forskning
74201,energiforsyning
74202,it og teleforsyning
74203,olie- og naturgasindvinding
74205,olie- og naturgasindvinding
74322,kommunal og regional økonomi|kommuner
74324,international beskatning 
74418,byfornyelse
74421,dyr og dyrevelfærd
74422,PET og terrorbekæmpelse
74423,alternative og vedvarende energikilder
74424,indfødsrets og naturalisering|indfødsretsprøve
74425,forvaltningsret og persondata
74426,flygtninge og asylansøgere
74557,handel og eksport
74558,folkeoplysning og højskoler
74559,regnskab og revision
74560,erhvervsuddannelser
74561,produktsikkerhed og autorisation
74562,erhvervsuddannelser
74563,erhvervsuddannelser
74564,kommunal og regional økonomi
74565,erhvervsuddannelser|gymnasiale uddannelser
74566,kommunal og regional økonomi
74567,dyr og dyrevelfærd|jagt- og vildtforvaltning|naturbeskyttelse og kystsikring
74569,aktivering og jobformidling
74590,alternative og vedvarende energikilder
74591,alternative og vedvarende energikilder
74663,strafferet og kriminalitet
74664,finansiel virksomhed|fysisk planlægning
74666,voksen- og efteruddannelse
74667,naturbeskyttelse og kystsikring
74668,naturbeskyttelse og kystsikring
74669,kommuner
74670,vand- og havmiljø
74671,miljøpolitik og miljøbeskyttelse
74672,sygefravær og sygedagpenge
74673,fonds- og foreningsbeskatning
74674,efterløn og fleksjob
74675,virksomhedsskat
74676,arbejdsløshedsforsikring og dagpenge
74677,sundhed og sociale forhold
74678,flygtninge og asylansøgere
74679,sundhedsfremme og sygdomsforebyggelse
74681,sundhedsfremme og sygdomsforebyggelse
74684,indvandrere og integration
74699,punktafgifter
74703,"folketingsarbejdet, grundloven og forretningsordenen"
74771,personskatter
74772,personskatter
74803,kulturarv og bygningsbevaring
74804,erhvervsuddannelser
74805,sundhedsfremme og sygdomsforebyggelse
74806,Danmarks Statistik
74807,kriminalforsorg og afsoning
74820,sø- og skibsfart
74821,sø- og skibsfart
74896,arbejdsmarkedspolitik og beskæftigelsesindsats
74897,arbejdsmarkedspolitik og beskæftigelsesindsats
74899,strafferet og kriminalitet
74997,social service
74998,indvandrere og integration
74999,politi og våben|strafferet og kriminalitet
75034,barsel
75035,energiafgifter 
75130,sø- og skibsfart
75131,erhvervsdrivende virksomhed
75133,digitalisering
75178,finanspolitik
75221,landbrug
75222,menighedsråd
75308,frie grundskoler
75309,erhvervsuddannelser
75317,fysisk planlægning
75318,fysisk planlægning
75383,videregående uddannelse
75384,etik og forskning
75386,sundhedsfremme og sygdomsforebyggelse
75466,strafferet og kriminalitet
75467,beredskab og civile opgaver
75469,produktsikkerhed og autorisation
75475,valg og folkeafstemninger
75480,folkepension og førtidspension
75481,transportpolitik
75482,transportpolitik
75484,sundhedspolitik og sundhedsøkonomi
75485,sundhedspolitik og sundhedsøkonomi
75486,ophold og visum
75487,ophold og visum
75497,familiesammenføring
75498,familiesammenføring
75597,strafferet og kriminalitet
75598,erhvervsdrivende virksomhed
75599,fiskeri og havbrug
75600,digitalisering
75601,inddrivelse
75663,EU
75664,politi og våben
75665,retspleje og domstole
75666,lufttrafik
75667,transportpolitik
75668,retspleje og domstole
75669,byggeri
75670,frie grundskoler
75671,forsvaret
75672,socialforvaltning og retssikkerhed
75673,socialforvaltning og retssikkerhed
75674,dagtilbud
75675,erhvervsdrivende virksomhed
75676,ejer- og andelsboliger
75677,sø- og skibsfart
75678,fødevarer
75679,folkeregistret og borgerservice
75680,naturbeskyttelse og kystsikring
75681,udvisning og repatriering
75682,fiskeri og havbrug|vand- og havmiljø
75683,energiforsyning
75684,alternative og vedvarende energikilder
75685,personskatter
75686,personskatter
75687,beskatning af fast ejendom 
75688,energiforsyning
75689,motorkøretøjer
75690,praksissektoren og kommunale sundhedsordninger
75790,vand- og havmiljø
75791,politi og våben
75792,naturbeskyttelse og kystsikring
75795,videregående uddannelse
75796,finansiel virksomhed
75797,flygtninge og asylansøgere
75799,arbejdsmiljø og arbejdsskader
75884,strafferet og kriminalitet
75885,retspleje og domstole
75886,forvaltningsret og persondata
75887,strafferet og kriminalitet
75888,fysisk planlægning
75890,ældre
75897,valg og folkeafstemninger
75900,ældre
75901,ældre
75904,boligpolitik|lejeboliger
75905,frie grundskoler
75906,frie grundskoler
75907,frie grundskoler
75908,frie grundskoler
75910,handicappede
75911,virksomhedsskat
75912,arbejdsløshedsforsikring og dagpenge
75913,sundhedspolitik og sundhedsøkonomi
75914,sygdomme og sygdomsbehandling
75915,sygdomme og sygdomsbehandling
75916,arbejdsmarkedspolitik og beskæftigelsesindsats
75917,alternative og vedvarende energikilder
75918,folkepension og førtidspension
75919,indvandrere og integration
75920,Udlændingestyrelsen
75924,EU
75925,EU
76006,landbrug
76073,strafferet og kriminalitet
76074,strafferet og kriminalitet
76075,kommuner
76076,energiafgifter 
76132,indfødsrets og naturalisering
76141,flygtninge og asylansøgere
76142,flygtninge og asylansøgere
76199,ophavsret
76202,jagt- og vildtforvaltning
76203,jagt- og vildtforvaltning
76205,inddrivelse
76206,social service
76207,patientrettigheder og patientsikkerhed
76208,Udlændingestyrelsen
76210,Udlændingestyrelsen
76211,strafferet og kriminalitet
76212,forvaltningsret og persondata
76233,gods- og erhvervstransport
76279,kommuner
76280,ophold og visum
76281,praksissektoren og kommunale sundhedsordninger
76284,personskatter
76446,erhvervsdrivende virksomhed
76447,erhvervsdrivende virksomhed
77169,finanspolitik
77170,finanspolitik
77171,finanspolitik
77231,regnskab og revision
77232,kriminalforsorg og afsoning
77236,retspleje og domstole
77237,sø- og skibsfart
77239,handel og eksport
77240,retspleje og domstole
77242,politi og retsvæsen
77243,turisme og oplevelsesøkonomi
77244,turisme og oplevelsesøkonomi
77246,turisme og oplevelsesøkonomi
77247,uddannelsesstøtte
77248,miljøpolitik og miljøbeskyttelse
77249,beredskab og civile opgaver
77250,dyr og dyrevelfærd
77251,vand- og havmiljø
77252,værnepligt
77253,jernbaneinfrastruktur
77254,jernbaneinfrastruktur
77255,jernbaneinfrastruktur
77256,valg og folkeafstemninger
77257,kommuner
77258,jernbaneinfrastruktur|kollektiv transport
77259,færdselsret
77260,kommuner
77261,havne
77262,dagtilbud
77263,dagtilbud
77264,færdselsret
77265,boligpolitik|byggeri|ghettoer og udsatte boligområder|lejeboliger
77266,byggeri|ghettoer og udsatte boligområder|lejeboliger
77267,medier
77268,medier
77269,arbejdsmarkedspensioner 
77270,folkeoplysning og højskoler
77272,voksen- og efteruddannelse
77273,arbejdsmarkedspolitik og beskæftigelsesindsats
77274,frie grundskoler
77275,folkeskolen
77276,arbejdsløshedsforsikring og dagpenge
77278,arbejdsløshedsforsikring og dagpenge
77279,international beskatning 
77281,international beskatning 
77282,international beskatning 
77283,international beskatning 
77284,it og teleforsyning
77285,fonds- og foreningsbeskatning
77286,energiforsyning
77288,lægemidler og apoteker
77290,personskatter
77291,lægemidler og apoteker
77292,beskatning af aktier
77293,socialpolitik
77294,sundhedspersonale og autorisation
77295,lægemidler og apoteker
77297,sundhedspolitik og sundhedsøkonomi
77301,social service
77480,sygefravær og sygedagpenge
77481,erhverv og arbejdsmarked
77482,voksen- og efteruddannelse
77483,boliger til særlige grupper|lejeboliger|studie- og ungdomsboliger
77579,retspleje og domstole
77580,finansiel virksomhed
77581,miljøpolitik og miljøbeskyttelse
77582,strafferet og kriminalitet
77583,alternative og vedvarende energikilder
77585,strafferet og kriminalitet
77586,indfødsrets og naturalisering
