id,year,majortopic,subtopic,description,filter_eu,Session,Number,Scope,Day,Month,DK_New_Code,DK_old_code,calendar_year,Date,Type,Opening
1672,1990,19,1901,Forslag til folketingsbeslutning om Danmarks ratifikation af overenskomsten om oprettelse af Den Europ�iske Bank for Genopbygning og Udvikling,1,27,270054,12,6,3,1901,1901,1991,3/6/1991,2,0
8603,1990,5,501,Forslag til lov om ændring af lov om arbejdsskadeforsikring.,0,27,44,8,21,2,501,501,1991,2/21/1991,1,0
8627,1990,15,1520,"Forslag til lov om aktieselskaber, lov om anpartsselskaber, lov om visse selskabers aflæggelse af årsregnskab mv. og lov om forsirkingsvirksomhed.",1,27,82,21,30,4,1520,1520,1991,4/30/1991,1,0
8746,1990,10,1007,Forslag til lov om ændring af sømandsloven (behandling af tvistigheder om sømandens ret til at fratræde tjenesten ved krigsfare mv.).,0,27,33,8,15,1,1007,1007,1991,1/15/1991,1,0
1647,1990,20,2002,Forslag til folketingsbeslutning om et b�rnekontor under Folketingets Ombudsmand,0,27,270029,15,6,2,2002,2002,1991,2/6/1991,2,0
1665,1990,3,322,Forslag til folketingsbeslutning om en ambulancelov,0,27,270047,17,8,2,322,322,1991,2/8/1991,2,0
252,1990,13,1300,Om det sociale udviklingsprogram,0,27,2709,0,25,4,1300,1300,1991,4/25/1991,4,0
8679,1990,10,1002,forslag til lov om ændring af hyrekørsel,0,27,180,9,30,5,1002,1006,1991,5/30/1991,1,0
8584,1990,4,403,Forslag til lov om ændring af lov om levnedsmiddelkontrollen.,0,27,13,11,2,4,403,403,1991,4/2/1991,1,0
8687,1990,6,601,forslag til lov om ændring af lov om statens uddannelsesstøtte,0,27,195,21,31,5,601,601,1991,5/31/1991,1,0
8760,1990,15,1520,Forslag til lov om ændring af regnskabsloven (styrkelse af revisionen og øget gennemsigtighed i regnskaberne).,0,27,134,5,8,3,1520,1520,1991,3/8/1991,1,0
8718,1990,13,1308,Forslag til lov om ændring af lov om social bistand (ændret maksimum for forældrebetaling for ophold i daginstitutioner fra d. 1. August 1991).,0,27,"188,1",21,30,5,1308,1308,1991,5/30/1991,1,0
8712,1990,5,502,forslag til lov om ændring af lov om tilskud til efteruddannelse inden for jordbrugserhvervene,0,27,125,12,30,4,502,502,1991,4/30/1991,1,0
8695,1990,15,1504,Forslag til lov om ændring af realkreditlov og lov om realkreditlignende lån og andelsboliglån mv (forlængelse af løbetiden for lån til om- og tilbygning).,0,27,204,20,30,5,1504,1504,1991,5/30/1991,1,0
8669,1990,21,2105,Forslag til lov om tilskud til Grønlands hjemmestyre.,0,27,163,6,7,5,2105,2105,1991,5/7/1991,1,0
