sagid,sag_nummer,domains
70705,L 80,Defence|Labour
70805,L 83,Defence
70545,L 43,Justice
70712,L 71,Justice
70711,L 73,Justice
70692,L 84,Economy|Territories
70872,L 91,Energy
71429,L 92 A,Economy
71430,L 92 B,Economy
70905,L 93,Economy
71013,L 94,Social
70704,L 65,Housing
70702,L 66,Housing
71351,L 102,Economy|Local
71012,L 95,Health
70710,L 70,Justice
70708,L 72,Justice
70690,L 77,Environment
71347,L 97,Education|Labour
71341,L 109,Education
70720,L 52,Social
70719,L 51,Immigration
71350,L 108,Immigration
71349,L 101,Economy|Energy
71342,L 105,Justice
70548,L 45,Agriculture
71513,L 114,Agriculture
71353,L 99,Health
70715,L 53,Social
70718,L 55,Local
71352,L 104,Economy|Housing
71579,L 115,Economy
71750,L 119,Immigration
70717,L 50,Culture
72015,L 126,Immigration
70271,L 7,Social
71970,L 133,Labour
72016,L 128,Labour
72141,L 137,Economy
71756,L 116,Infrastructure
71752,L 123,Education
71340,L 98,Infrastructure
72010,L 131,Culture
71512,L 112,Labour
71755,L 117,Education
71753,L 118,Education
72138,L 143,Housing
71511,L 113,Business|Labour
70411,L 40,Business
72545,L 165,Housing
72009,L 129,Justice|Territories
71343,L 107,Social
72013,L 132,Health
72014,L 127,Economy|Local
72012,L 130,Justice
72661,L 168,Justice
72659,L 169,Justice
72139,L 138,Education
72136,L 140,Labour|Territories
72430,L 154,Immigration
73132,L 141 A,Infrastructure
73133,L 141 B,Justice
72011,L 134,Culture
72428,L 152,Culture
72425,L 160,Culture
71346,L 110,Agriculture|Environment
72143,L 144,Agriculture
72134,L 146,Defence
70245,L 27,Economy
72674,L 172,Business
73225,L 182 A,Economy
73226,L 182 B,Economy
72432,L 153,Immigration
71344,L 100,Economy
71387,L 106,other
73223,L 139 B,Foreign
73332,L 167 A,Social
73333,L 167 B,Health
72543,L 162,Immigration
72675,L 173,Immigration|Justice
72664,L 176,Social
72663,L 177,Social
72666,L 178,Social
72665,L 179,Social
72433,L 159,Agriculture
72540,L 166,Agriculture
71751,L 120,Infrastructure
72140,L 142,Infrastructure
72424,L 158,Infrastructure
72257,L 147,Labour
73008,L 205,Labour
73452,L 149 A,Justice
73453,L 149 B,Justice
72422,L 155,Business
72423,L 156,Business
71749,L 121,Business
72815,L 187,Business|Housing
71819,L 124,Local
71820,L 125,other
72544,L 164,Economy|Local
73015,L 199,Immigration|Local
73018,L 200,Local
73017,L 197,Economy|Infrastructure
73021,L 198,Local
72667,L 171,Justice
73007,L 190,Justice
73010,L 193,Justice
73006,L 192,Immigration|Justice
73012,L 191,Justice
71345,L 111,Agriculture
71754,L 122,Environment
72672,L 180,Business|Infrastructure
73162,L 213,Energy
72890,L 189,Immigration
72447,L 161,Immigration
72676,L 174,Immigration
72677,L 175,Immigration
72816,L 188,Immigration
72431,L 150,Social
72429,L 151,Social
73106,L 206,Social
70409,L 41,Business|Justice
72427,L 157,Business
71348,L 103,Economy
72668,L 183,Economy
73016,L 194,Economy
73014,L 195,Economy
73013,L 196,Economy
73105,L 210,Economy
73102,L 211,Economy|Housing
73103,L 212,Housing
72671,L 185,Health
73100,L 207,Health
73101,L 208,Health
73120,L 209,Health
72679,L 170,Justice
73011,L 203,Education
72673,L 181,Education
72662,L 184,Education
73019,L 202,Education
74193,L 4,Economy
74590,L 39 A,Energy
74591,L 39 B,Energy
74176,L 56,Agriculture
74198,L 58,Health
74187,L 17,Economy
74771,L 64 A,Economy
74772,L 64 B,Economy
74201,L 40,Energy|Infrastructure
74203,L 42,Energy
74205,L 43,Energy|Infrastructure
